,04-Badr-2021-A Comparative Study among New Hybrid Root Finding Algorithms-Hybrid-Blend-Trisection-Falseposition,05-Sabharwal-2019-Hybrid-Blend-Bisection-Falseposition,06-Optimized-Bisection-FalsePosition
Problem 1,45100.0,43700.0,24500.0
Problem 2,14000.0,12200.0,6300.0
Problem 3,2600.0,4600.0,6500.0
Problem 4,42400.0,39200.0,19900.0
Problem 5,13200.0,10600.0,5800.0
Problem 6,53200.0,38300.0,24300.0
Problem 7,66300.0,39400.0,18100.0
Problem 8,71000.0,42700.0,26500.0
Problem 9,67300.0,40900.0,26200.0
Problem 10,54300.0,27200.0,16600.0
Problem 11,79900.0,46900.0,22600.0
Problem 12,25500.0,16100.0,9200.0
Problem 13,19900.0,8100.0,6800.0
Problem 14,22600.0,12700.0,8400.0
Problem 15,63000.0,39000.0,22900.0
Problem 16,89700.0,30200.0,16600.0
Problem 17,85300.0,34700.0,19300.0
Problem 18,70200.0,37400.0,48000.0
Problem 19,66200.0,32800.0,10700.0
Problem 20,484400.0,121900.0,57500.0
Problem 21,5800.0,2800.0,2000.0
Problem 22,31800.0,17300.0,10600.0
Problem 23,17500.0,9200.0,4900.0
Problem 24,4000.0,2400.0,1700.0
Problem 25,96400.0,55700.0,26800.0
Problem 26,31300.0,24100.0,9200.0
Problem 27,33700.0,24600.0,9300.0
Problem 28,45400.0,36800.0,13900.0
Problem 29,118800.0,91200.0,29400.0
Problem 30,10400.0,72100.0,16400.0
Problem 31,10900.0,7300.0,2200.0
Problem 32,23200.0,19000.0,6300.0
Problem 33,7700.0,22500.0,20600.0
Problem 34,61900.0,58400.0,21500.0
Problem 35,43800.0,2400.0,3800.0
Problem 36,13900.0,8000.0,7800.0
Problem 37,55300.0,33300.0,37100.0
Problem 38,24400.0,3300.0,2400.0
Problem 39,30800.0,8800.0,7900.0
Problem 40,44600.0,24200.0,26500.0
Problem 41,26500.0,15000.0,11600.0
Problem 42,19800.0,6100.0,3400.0
