,Bisection,False Position,Trisection,HybridBlendTF,HybridBlendBF,QIR,Brent (SciPy),Opt.BF,Opt.BFMS,Opt.TF,Opt.TFMS
Problem 1,49.2368575,35.5859081,68.0934431,36.376613,41.1148314,18.2517612,21.844498,22.366793599999998,13.873583300000002,24.6316223,17.274910000000002
Problem 2,10.6813793,9.5316098,13.4037592,8.369771799999999,7.2522051,10.3660877,15.695782500000002,4.009907,3.9022707999999997,3.7525970999999996,3.2132827
Problem 3,10.7272299,9.0969955,0.8606319,1.0797812,1.7664704000000002,3.3085983,15.780172399999998,4.0735608,3.8909721,1.0109187,1.0641452
Problem 4,42.3432971,14.093875599999999,56.74408270000001,33.7710717,30.805314199999998,32.2093067,19.033048,16.5810247,10.6876693,20.0992611,13.873289499999998
Problem 5,9.961202199999999,3.9650388,14.300839600000002,7.8108009,6.7792353,3.2713052,13.133638500000002,3.4693271999999995,2.4890227,4.1210173999999995,3.077668
Problem 6,46.9470066,27.8710305,62.179522199999994,27.1220447,30.387315,14.312306099999999,19.7602878,20.7959982,14.015553,25.8206741,17.7555308
Problem 7,45.4599615,45.1019342,55.59604,34.5933189,27.2720886,17.7417767,19.1563603,14.6122011,10.5534938,20.545937,16.0129409
Problem 8,48.5346625,56.1852679,60.142153,38.504705699999995,39.3859336,18.312582199999998,19.9409106,23.3403459,14.1780106,25.846235399999998,17.8261155
Problem 9,53.44068660000001,21.736279800000002,59.39428540000001,34.8719916,37.073731,14.7744699,20.456794,22.025962,14.955640400000002,20.3387854,15.298331400000002
Problem 10,47.6422205,8.9357244,59.153566399999995,25.9423299,24.690258,67.93839009999999,19.6656032,13.137240900000002,11.2544926,18.4189127,13.7607893
Problem 11,47.6411807,16.067764999999998,59.235288399999995,41.667649499999996,41.8567092,57.4286108,25.539830300000002,19.9214883,16.1175368,21.7214495,17.261885999999997
Problem 12,10.6555547,30.6915104,14.1442383,10.1503181,10.129638400000001,14.1705872,15.482726000000001,5.0950940000000005,3.711955,5.4586669,5.5231449999999995
Problem 13,12.1537147,5.7151721,15.8963115,9.2890335,5.0316082,3.3753188,14.8264889,4.0298162,3.3475676999999995,6.4300251,3.7743332
Problem 14,12.293973,8.9362605,16.5774143,10.714658400000001,9.2571288,10.376486199999999,13.656838,5.0433807999999996,3.5282891000000003,5.8461242,4.5308658
Problem 15,49.7567539,17.1899087,59.3251299,33.7624639,35.4518749,41.4951237,19.7177839,18.7391658,14.831171,23.1349507,18.1563182
Problem 16,43.0388693,9.3368484,61.5719681,27.106507,25.6911397,71.3795199,23.192354,13.6985109,11.6707774,15.7281437,14.2423771
Problem 17,47.0382773,26.509813400000002,65.134703,42.9069728,30.064573,42.5497837,23.8151506,15.923961499999999,14.0001136,25.512338200000002,17.7973172
Problem 18,53.725862199999995,15.721205799999998,70.17529259999999,36.8521396,33.683404599999996,19.989605100000002,18.6469448,17.8308185,12.883515,25.1770463,15.541959299999998
Problem 19,17.8063478,10.4816969,24.0371384,16.4268152,15.8009677,14.1195247,18.409095100000002,6.9963764,5.5337553,7.914908199999999,6.6823141
Problem 20,127.84449169999999,72.3795861,166.4155657,93.4662652,116.3082939,41.480243,44.7786535,54.5776824,41.9157753,61.8281113,47.1037765
Problem 21,0.9391228000000001,0.73859,17.496436499999998,1.3100793,0.9198105999999999,0.8314067999999999,6.227572299999999,0.5241627000000001,0.5414458000000001,0.5331616,0.5326152
Problem 22,17.8475449,10.6639977,23.6558367,14.3023484,12.446392900000001,13.9914913,14.3867628,7.1502795,4.4977395,7.902344800000001,4.7296248
Problem 23,10.5696914,2.8856102999999997,13.9717418,6.0479716,5.7581790999999996,3.3963891000000004,12.1233787,3.3471424,2.6967774,3.3265160000000003,3.3101741000000002
Problem 24,7.8640868,0.5182567,15.492204999999998,0.8992091,0.6662736,2.0525109,7.0550719,0.9428269,0.8039486,1.0843679,1.17456
Problem 25,90.7574325,66.7827518,112.1696415,68.7010408,68.715659,45.539338400000005,36.098822600000005,35.5224474,30.453235,40.2451809,34.6761682
Problem 26,15.601376,3116.9883064,22.2793318,13.127888,11.4759212,16.3031322,19.3976822,6.1222376,5.4584852,7.2734886,5.9310226
Problem 27,15.307126199999999,27.9214459,20.6715658,14.172058499999999,11.0486651,13.4611626,18.0357971,5.8779849,5.2608301,7.868842600000001,5.950199
Problem 28,49.6864694,31.181289899999996,65.32431779999999,37.9999191,21.5851147,14.5423801,21.970651800000002,11.5962608,11.7698749,25.6137157,17.8724363
Problem 29,83.0002832,20.5205235,103.74592539999999,63.5786539,50.1550572,99.7381886,31.373499,25.8417368,22.5919968,36.6142834,22.8127391
Problem 30,42.877887099999995,7947.5707781,3.1676723,3.9320833,45.710807900000006,30.3394393,28.4100949,19.401227,16.1270007,3.4113149,3.3805289
Problem 31,2.2643567,2.2969715,53.376286699999994,3.8961942,3.1664706999999996,1.8599466,7.7741224,1.574658,1.5992918,1.6017253,1.5584896
Problem 32,14.157701399999999,3.4973120000000004,19.1638644,9.967905400000001,7.814527099999999,11.5870029,12.9845668,4.4807985,4.1950403,5.5302175,4.500856199999999
Problem 33,19.512036,49.0649917,1.4939195,1.9353509999999998,16.687069,15.263488800000001,19.3198111,8.9195322,6.5518083,1.7324726,1.7819059000000002
Problem 34,52.49181850000001,17.088385,65.5007886,33.3035037,35.5342631,44.4726732,20.2863396,18.8141421,12.0139793,19.5681583,14.9876722
Problem 35,0.5399837000000001,2282.1572326,15.0724085,11.2138014,0.778686,1.2344675999999999,12.0676969,0.8414202,0.8880963,6.1446553999999995,6.5270695
Problem 36,1.4549129,2338.0740236,2.2120327,4.5357936,4.3912809,15.3122014,43.1062722,2.9832121,5.9198119,2.8700345,4.7405511
Problem 37,47.8432072,9.366636900000001,62.2183809,27.180903700000002,30.042254599999996,75.6173007,21.5837511,13.601974799999999,11.7045346,15.895539999999999,14.213676000000001
Problem 38,1.4313204,1.0926525,27.9452179,1.9892756,1.4233604,1.1142210000000001,6.6886106,0.7866865,0.8224143,0.8137904,0.7978308
Problem 39,82.44006879999999,5.0469617,105.94835810000001,8.0583623,6.5298834,3.4999547,10.4014433,3.15159,3.2095586,3.1765244,3.1880666
Problem 40,19.0669072,47.8807474,25.5055773,17.7370925,15.300950399999998,18.9332387,18.8016168,9.6518868,8.515037,10.785382499999999,7.888509600000001
Problem 41,9.020797100000001,895.4195616000001,12.7425737,9.9584377,10.116454300000001,16.7211189,25.016082,4.2984561999999995,5.034179,5.514107,5.7282844
Problem 42,1.4192219,1.3564209,10903.24338,2.4745155999999997,1.8701956999999998,1.2764427999999999,6.9059167,0.9382344000000001,0.9586353000000001,0.9316371999999999,0.9554891999999999
Problem 43,176.6678118,100.0690384,224.8723688,140.7452686,138.574549,52.0923127,46.2172134,64.1679771,50.2786574,81.3541387,61.657771600000004
Problem 44,50.9900329,15.435138,60.994903099999995,32.4389554,34.358854,30.641769300000004,20.2143586,18.432926600000002,11.7250947,19.0056877,14.542647
Problem 45,12.588080499999998,2.5467363,16.4209362,7.7734212,5.830228,14.5782014,12.1875241,3.0782899,2.8066151,4.2582709,3.5671752
Problem 46,49.3267647,14.057291699999999,63.336328800000004,26.654870199999998,29.832221500000003,18.2570361,17.5490439,16.027310200000002,13.9207808,22.223663000000002,14.067906299999999
Problem 47,94.2671905,21.0024206,104.2048441,88.9050798,70.81354209999999,181.5985082,38.6529892,36.793948300000004,29.1763898,47.206047,35.408144400000005
Problem 48,15.382505299999998,65.9793185,19.960271,14.4399659,12.7775035,16.6202747,21.5799089,6.830163499999999,6.1472811,7.0236002,6.8023601
