,Bisection,False Position,Trisection,HybridBlendTF,HybridBlendBF,QIR,Brent (Impl.),Brent (SciPy),Opt.BF,Opt.BFMS,Opt.TF,Opt.TFMS
Problem 1,45,28,32,7,10,4,13,9,9,3,7,3
Problem 2,48,39,28,7,8,4,15,10,8,3,5,3
Problem 3,49,37,1,1,2,1,16,10,8,3,1,1
Problem 4,44,11,29,7,8,8,10,8,7,3,6,3
Problem 5,47,16,31,7,8,1,12,8,7,3,6,3
Problem 6,45,16,29,5,7,3,5,8,8,3,7,3
Problem 7,47,37,28,7,7,4,7,8,6,3,6,3
Problem 8,46,44,28,7,9,4,16,8,9,3,7,3
Problem 9,48,15,26,6,8,3,10,8,8,3,5,3
Problem 10,46,6,28,5,6,17,9,8,5,3,5,3
Problem 11,45,12,28,8,10,14,7,11,8,3,6,3
Problem 12,50,138,31,9,12,6,15,10,11,4,8,5
Problem 13,48,20,29,7,5,1,12,9,7,3,7,3
Problem 14,49,33,30,8,9,4,15,8,9,3,7,3
Problem 15,46,12,27,6,8,10,5,8,7,3,6,3
Problem 16,42,6,29,5,6,18,5,10,5,3,4,2
Problem 17,44,20,30,8,7,10,13,10,6,3,7,3
Problem 18,47,10,30,6,7,4,5,7,6,3,6,2
Problem 19,51,28,32,9,11,5,15,11,9,4,7,3
Problem 20,48,24,31,7,11,5,7,11,9,4,7,4
Problem 21,2,1,31,1,1,1,10000,1,1,1,1,1
Problem 22,51,29,32,8,9,5,15,8,10,3,7,3
Problem 23,45,10,28,5,6,1,9,7,6,2,4,2
Problem 24,43,1,28,1,1,1,1,3,1,1,1,1
Problem 25,51,34,32,8,10,8,17,12,9,4,7,4
Problem 26,51,10000,34,8,9,6,18,12,9,4,7,4
Problem 27,51,90,32,9,9,5,16,11,9,4,8,3
Problem 28,46,24,30,7,5,3,13,9,4,2,7,3
Problem 29,47,9,29,7,7,18,13,10,6,3,6,3
Problem 30,52,10000,1,1,14,9,23,14,11,5,1,1
Problem 31,1,1,31,1,1,1,10000,1,1,1,1,1
Problem 32,45,9,28,6,6,4,4,7,6,3,5,3
Problem 33,48,119,1,1,10,5,18,11,10,4,1,1
Problem 34,47,12,29,6,8,10,12,8,7,3,5,2
Problem 35,1,10000,33,10,1,1,3,7,1,1,9,6
Problem 36,5,10000,4,4,5,7,17,33,6,6,4,4
Problem 37,47,6,30,5,7,19,6,9,5,3,4,3
Problem 38,2,1,32,1,1,1,10000,1,1,1,1,1
Problem 39,49,1,31,1,1,1,10000,1,1,1,1,1
Problem 40,51,123,32,9,10,7,23,11,12,5,9,4
Problem 41,43,3790,28,9,12,7,14,18,9,5,8,5
Problem 42,1,1,10000,1,1,1,10000,1,1,1,1,1
Problem 43,49,26,31,8,10,5,14,9,8,4,7,4
Problem 44,47,11,28,6,8,7,10,8,7,2,5,3
Problem 45,46,8,31,6,6,6,9,7,5,2,5,2
Problem 46,47,10,28,5,7,4,4,7,6,3,6,3
Problem 47,48,8,26,9,9,31,16,12,8,4,7,3
Problem 48,44,187,27,8,9,6,20,13,9,4,6,4
