method_name,avg_cpu,min_cpu,max_cpu,median_cpu,std_cpu,runs,wins
Bisection,36.92177639,0.501,512.103,41.307,35.46476754,480000,2
False Position,365.4653505,0.48,14475.096,16.721,1275.855078,480000,8
Trisection,274.6785102,0.801,19102.918,54.201,1551.503378,480000,3
HybridBlendTF,25.79302505,0.851,343.25,16.101,27.26079057,480000,0
HybridBlendBF,25.50264367,0.621,512.274,16.381,27.55572859,480000,0
QIR,26.61931221,0.781,642.026,15.989,31.79628482,480000,2
Brent (SciPy),19.97811586,5.881,544.364,18.935,9.593061998,480000,1
Opt.BF,13.29100353,0.49,139.3,9.368,13.20950848,480000,4
Opt.BFMS,10.47936884,0.501,610.827,8.335,10.33947722,480000,22
Opt.TF,15.68430405,0.491,716.203,7.785,16.45578281,480000,1
Opt.TFMS,11.93866187,0.5,156.962,6.622,12.19646699,480000,3
