method_name,avg_iter,min_iter,max_iter,median_iter,std_iter,runs,wins
Bisection,41.5625,1,52,47,15.14089071,480000,3
False Position,938.8125,1,10000,18,2784.503856,480000,4
Trisection,235.0833333,1,10000,29,1424.383072,480000,4
HybridBlendTF,5.895833333,1,10,7,2.686695184,480000,0
HybridBlendBF,7.125,1,14,8,3.269974099,480000,0
QIR,6.375,1,31,5,5.897127616,480000,3
Brent (SciPy),8.979166667,1,33,8.5,4.888297156,480000,0
Opt.BF,6.6875,1,12,7,2.895086852,480000,0
Opt.BFMS,2.791666667,1,6,3,1.171864647,480000,23
Opt.TF,5.291666667,1,9,6,2.362542878,480000,0
Opt.TFMS,2.4375,1,5,2,1.018706326,480000,11
