method_name,avg_cpu,min_cpu,max_cpu,median_cpu,std_cpu,runs,wins
Bisection,36.921776391666846,0.501,512.103,41.307,35.46476753634169,480000,2
False Position,365.4653504811633,0.48,14475.096,16.721,1275.855077668309,480000,8
Trisection,274.67851017916627,0.801,19102.918,54.201,1551.5033777102205,480000,3
HybridBlendTF,25.793025050003013,0.851,343.25,16.101,27.26079057026745,480000,0
HybridBlendBF,25.50264366667363,0.621,512.274,16.381,27.55572859484062,480000,0
QIR,26.619312212509286,0.781,642.026,15.989,31.796284819551566,480000,3
Brent (SciPy),19.978115860416672,5.881,544.364,18.935,9.593061998421744,480000,1
Opt.BF,13.291003533330942,0.49,139.3,9.368,13.209508477883123,480000,4
Opt.BFMS,10.479368841669277,0.501,610.827,8.335,10.339477220780674,480000,23
Opt.TF,15.684304047921152,0.491,716.203,7.785,16.455782813997686,480000,1
Opt.TFMS,11.93866186666833,0.5,156.962,6.622,12.196466990925462,480000,3
